A0|成田空港 第2ターミナル|35.7724143,140.3886803
A1|アパホテル〈上野広小路〉|35.7048331,139.772273
A3|ポケモンセンタートウキョーDX|35.6802902,139.7742695
A4|東武浅草駅|35.7119535,139.7983367
A6|日光東照宮|36.7580878,139.5987466
A7|旅籠なごみ|36.7399168,139.4935898
B1|ポケモンセンターメガトウキョー|35.7289056,139.7193245
B2|中野ブロードウェイ|35.7092475,139.6656524
B3|ポケモンセンターヨコハマ|35.4645717,139.6244898
B6|横浜港大さん橋|35.4511766,139.6473228
B10|成田空港 第3ターミナル|35.7788254,140.3846734
C0|神田明神|35.7020186,139.7678943
C1|東武日光駅|36.7478955,139.6194787
C2|英国大使館別荘記念公園|36.7265986,139.4859941
C3|華厳の滝|36.7380893,139.501941
C4|船の駅中禅寺|36.7397276,139.4929986
C5|菖蒲ヶ浜 船着場|36.7517881,139.4550099
D0|竜頭の滝|36.7576468,139.4514272
D1|YOKOHAMA AIR CABIN 桜木町駅|35.4514291,139.6314264
D2|横浜赤レンガ倉庫|35.4526321,139.6428944
D3|横浜中華街|35.4430883,139.6441001
D4|東京駅|35.6812996,139.7670658
D5|銀座四丁目交差点|35.6713717,139.7648996
